id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,persentase_penduduk_miskin,tingkat_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan
45,32,JAWA BARAT,PANGANDARAN,381729,0,0,13.29,5194000000    ,,2011,27.608635,TIDAK SEJAHTERA
46,32,JAWA BARAT,KOTA BOGOR,976791,88900,9.16,13.32,19944000000    ,11.85,2011,39.60705454,TIDAK SEJAHTERA
47,32,JAWA BARAT,KOTA SUKABUMI,304704,27300,8.95,13.93,5651000000    ,11.68,2011,40.31501107,CUKUP SEJAHTERA
48,32,JAWA BARAT,KOTA BANDUNG,2429180,116900,4.78,9.83,110234000000    ,12.97,2011,26.73921264,TIDAK SEJAHTERA
49,32,JAWA BARAT,KOTA CIREBON,295981,35000,11.56,15.17,10677000000    ,12.1,2011,43.92113896,CUKUP SEJAHTERA
50,32,JAWA BARAT,KOTA BEKASI,2427070,145900,6.12,8.41,43946000000    ,12.36,2011,29.88804655,TIDAK SEJAHTERA
51,32,JAWA BARAT,KOTA DEPOK,1823180,48900,2.75,6.87,28413000000    ,12.46,2011,24.50461101,TIDAK SEJAHTERA
52,32,JAWA BARAT,KOTA CIMAHI,554175,39500,7.15,10.64,14319000000    ,12.76,2011,37.22816729,TIDAK SEJAHTERA
53,32,JAWA BARAT,KOTA TASIKMALAYA,644305,129800,19.98,9.89,9758000000    ,12.24,2011,56.87367756,CUKUP SEJAHTERA
54,32,JAWA BARAT,KOTA BANJAR,177587,14700,8.21,11.21,2137000000    ,12.02,2011,39.55445924,TIDAK SEJAHTERA
55,32,JAWA BARAT,BOGOR,5073120,451000,8.83,10.69,104287000000    ,10.91,2012,32.6383432,TIDAK SEJAHTERA
56,32,JAWA BARAT,SUKABUMI,2393190,234600,9.79,7.75,31768000000    ,10.73,2012,39.16066728,TIDAK SEJAHTERA
57,32,JAWA BARAT,CIANJUR,2213890,292200,13.18,7.79,21817000000    ,10.62,2012,47.384928,CUKUP SEJAHTERA
58,32,JAWA BARAT,BANDUNG,3339680,279500,8.33,5.12,54468000000    ,11.26,2012,33.85326647,TIDAK SEJAHTERA
59,32,JAWA BARAT,GARUT,2477110,315800,12.72,7.87,27815000000    ,10.85,2012,46.42603991,CUKUP SEJAHTERA
60,32,JAWA BARAT,TASIKMALAYA,1710430,201500,11.76,12.97,17192000000    ,11.83,2012,44.05789668,CUKUP SEJAHTERA
61,32,JAWA BARAT,CIAMIS,1148780,147800,9.63,5.82,15214000000    ,12.83,2012,42.17544129,CUKUP SEJAHTERA
62,32,JAWA BARAT,KUNINGAN,1036490,142300,13.7,7.9,10963000000    ,11.4,2012,47.49662064,CUKUP SEJAHTERA
63,32,JAWA BARAT,CIREBON,2076610,311300,14.96,11.29,23858000000    ,11.17,2012,51.38824803,CUKUP SEJAHTERA
64,32,JAWA BARAT,MAJALENGKA,1164720,168600,14.46,8.72,14307000000    ,11.22,2012,48.99209014,CUKUP SEJAHTERA
65,32,JAWA BARAT,SUMEDANG,1117920,132900,11.87,9.54,16401000000    ,11.95,2012,44.28921569,CUKUP SEJAHTERA
66,32,JAWA BARAT,INDRAMAYU,1663400,257300,15.44,14.88,51389000000    ,11.11,2012,51.7133725,CUKUP SEJAHTERA
67,32,JAWA BARAT,SUBANG,1480710,185400,12.49,9.03,20589000000    ,11.15,2012,45.52662409,CUKUP SEJAHTERA
68,32,JAWA BARAT,PURWAKARTA,885386,85000,9.57,13.31,31934000000    ,10.71,2012,40.45450571,CUKUP SEJAHTERA
69,32,JAWA BARAT,KARAWANG,2199390,245100,11.11,17.2,111424000000    ,11.08,2012,42.51078852,CUKUP SEJAHTERA
70,32,JAWA BARAT,BEKASI,2884300,153100,5.25,15.65,175280000000    ,11.05,2012,26.35390405,TIDAK SEJAHTERA
71,32,JAWA BARAT,BANDUNG BARAT,1567400,209900,13.35,12.17,21652000000    ,10.53,2012,47.30729719,CUKUP SEJAHTERA
72,32,JAWA BARAT,PANGANDARAN,383915,0,0,11.67,5463000000    ,,2012,27.58257409,TIDAK SEJAHTERA
73,32,JAWA BARAT,KOTA BOGOR,995081,84800,8.48,12.11,21204000000    ,11.98,2012,38.44557381,TIDAK SEJAHTERA
74,32,JAWA BARAT,KOTA SUKABUMI,308405,26000,8.42,8.34,5978000000    ,12.19,2012,39.5720786,TIDAK SEJAHTERA
75,32,JAWA BARAT,KOTA BANDUNG,2444620,111400,4.55,13.59,119632000000    ,13.05,2012,26.06497122,TIDAK SEJAHTERA
76,32,JAWA BARAT,KOTA CIREBON,298825,33200,11.1,8.16,11309000000    ,12.5,2012,43.24179191,CUKUP SEJAHTERA
77,32,JAWA BARAT,KOTA BEKASI,2498600,139800,5.56,5.87,46907000000    ,12.43,2012,28.4347501,TIDAK SEJAHTERA
