jumlah_penduduk,jumlah_penduduk_miskin,jumlah_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan,penduduk_miskin_ratio,pengangguran_ratio,pdrb_perkapita,kesejahteraan_level,kabkota_bandung,kabkota_bandung_barat,kabkota_bekasi,kabkota_bogor,kabkota_ciamis,kabkota_cianjur,kabkota_cirebon,kabkota_garut,kabkota_indramayu,kabkota_karawang,kabkota_kota_bandung,kabkota_kota_banjar,kabkota_kota_bekasi,kabkota_kota_bogor,kabkota_kota_cimahi,kabkota_kota_cirebon,kabkota_kota_depok,kabkota_kota_sukabumi,kabkota_kota_tasikmalaya,kabkota_kuningan,kabkota_majalengka,kabkota_pangandaran,kabkota_purwakarta,kabkota_subang,kabkota_sukabumi,kabkota_sumedang,kabkota_tasikmalaya
1861060.0,181500,181081.0,24345000000.0,4.0,2020,44.61095,Tidak Sejahtera,0.09752506636003137,0.09729992584870988,13081.25476878768,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1226050.0,91400,118682.0,21970000000.0,4.0,2020,44.48256667,Tidak Sejahtera,0.07454834631540312,0.0968002936258717,17919.334448024143,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1162590.0,139200,104633.0,16883000000.0,4.0,2020,34.21435,Sangat Tidak Sejahtera,0.11973266585812711,0.08999991398515383,14521.886477606035,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2270350.0,247900,187077.0,33304000000.0,4.0,2020,61.12248333,Cukup,0.10919021296275905,0.0824000704737155,14669.103882661264,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1301570.0,138200,58831.0,21755000000.0,4.0,2020,46.26511667,Tidak Sejahtera,0.10617946019038546,0.04520002765890425,16714.429496684774,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1149470.0,118400,105291.0,23665000000.0,4.0,2020,48.09211667,Tidak Sejahtera,0.10300399314466667,0.09159960677529644,20587.74913655859,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1829230.0,220300,155302.0,59200000000.0,4.0,2020,114.9632333,Sangat Sejahtera,0.12043318773472991,0.0849002039109352,32363.344139337318,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1605250.0,149800,131309.0,28344000000.0,3.0,2020,53.62588333,Tidak Sejahtera,0.09331879769506307,0.08179971966983336,17657.06276280953,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
994330.0,80200,89887.0,45293000000.0,4.0,2020,92.75498333,Sangat Sejahtera,0.08065732704434142,0.09039956553659248,45551.27573340842,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2434090.0,195400,202029.0,105601000000.0,4.0,2020,191.97997500499997,Sangat Sejahtera,0.08027640719940511,0.08299980690935832,43384.18053564166,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3101730.0,186300,189826.0,105601000000.0,4.0,2020,191.97997500499997,Sangat Sejahtera,0.06006325502219729,0.06120003997768987,34045.838935045926,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1782190.0,179500,144179.0,30640000000.0,3.0,2020,57.07938333,Cukup,0.10071877858140826,0.08089990405063434,17192.330784035374,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
422410.0,36100,28639.0,7739000000.0,4.0,2020,21.44438333,Sangat Tidak Sejahtera,0.08546199190360076,0.06779905778745768,18321.062474846713,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1040570.0,75000,64099.0,32163000000.0,4.0,2020,67.87105,Cukup,0.0720758814880306,0.061599892366683645,30909.021017327043,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
344830.0,25400,49276.0,8535000000.0,4.0,2020,22.18286667,Sangat Tidak Sejahtera,0.07365948438360931,0.14289939970420207,24751.326740712815,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2438350.0,100000,234082.0,105601000000.0,4.0,2020,191.97997500499997,Sangat Sejahtera,0.04101133963540919,0.09600016404535854,43308.38476838846,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
332580.0,30600,36750.0,16648000000.0,4.0,2020,38.9485,Sangat Tidak Sejahtera,0.09200793793974382,0.11049972938841783,50057.12911179265,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2536120.0,134000,217599.0,67619000000.0,4.0,2020,130.1247167,Sangat Sejahtera,0.05283661656388499,0.08579996214690157,26662.381906218947,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2046830.0,60400,183396.0,48136000000.0,4.0,2020,94.09553333,Sangat Sejahtera,0.029509045695050393,0.0896000156339315,23517.341449949436,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
566170.0,31600,40311.0,22341000000.0,4.0,2020,50.13978333,Tidak Sejahtera,0.05581362488298568,0.0711994630587986,39459.87954148048,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
713670.0,86100,40394.0,15430000000.0,4.0,2020,35.4053,Sangat Tidak Sejahtera,0.12064399512379671,0.056600389535779845,21620.636989084593,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
200270.0,11200,22470.0,3252000000.0,4.0,2020,13.19383333,Sangat Tidak Sejahtera,0.05592450192240475,0.11219853198182454,16238.078593898237,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4646363.5,417700,415635.5,105601000000.0,4.0,2021,191.97997500499997,Sangat Sejahtera,0.0898982612961728,0.08945393531952461,22727.666485844253,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2747450.0,194400,160451.0,47936000000.0,4.0,2021,92.60945,Sangat Sejahtera,0.07075651968188684,0.05839997088209067,17447.451272998598,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2500640.0,260000,247313.0,32898000000.0,3.0,2021,55.09701667,Tidak Sejahtera,0.10397338281399962,0.09889988163030264,13155.832106980613,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3652400.0,269200,336386.0,83949000000.0,4.0,2021,154.5920333,Sangat Sejahtera,0.07370496112145439,0.09209998904829701,22984.61285729931,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2613530.0,281400,247763.0,39981000000.0,4.0,2021,70.88385,Cukup,0.1076704686764644,0.09480013621423898,15297.700810780821,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1876890.0,200600,207772.0,25179000000.0,4.0,2021,44.62606667,Tidak Sejahtera,0.10687893270250254,0.11070014758456809,13415.277400380417,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1234830.0,96600,142252.0,22775000000.0,4.0,2021,44.8274,Tidak Sejahtera,0.07822939190009962,0.11519966311152142,18443.834373962407,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1175950.0,143400,135705.0,17484000000.0,4.0,2021,33.79275,Sangat Tidak Sejahtera,0.12194396020238955,0.11540031463922786,14867.97908074323,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2301330.0,271000,281913.0,34128000000.0,4.0,2021,57.64368333,Cukup,0.11775799211760156,0.12250003258985022,14829.685442765705,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
