id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,jumlah_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan,,,,,
43,32,JAWA BARAT,BEKASI,2769180,159500,527252,1.65E+11,3,2011,306.0570667,Sangat Sejahtera,,,,,
44,32,JAWA BARAT,BANDUNG BARAT,1545120,219800,259580,20419000000,3,2011,30.19566667,Sangat Tidak Sejahtera,,,,,
45,32,JAWA BARAT,PANGANDARAN,381729,0,50732,5194000000,1,2011,9.8514,Sangat Tidak Sejahtera,,,,,
46,32,JAWA BARAT,KOTA BOGOR,976791,88900,130109,19944000000,3,2011,37.90088333,Sangat Tidak Sejahtera,,,,,
47,32,JAWA BARAT,KOTA SUKABUMI,304704,27300,42445,5651000000,3,2011,14.72475,Sangat Tidak Sejahtera,,,,,
48,32,JAWA BARAT,KOTA BANDUNG,2429180,116900,238788,1.10E+11,4,2011,214.5802667,Sangat Sejahtera,,,,,
49,32,JAWA BARAT,KOTA CIREBON,295981,35000,44900,10677000000,4,2011,26.52566667,Sangat Tidak Sejahtera,,,,,
50,32,JAWA BARAT,KOTA BEKASI,2427070,145900,204117,43946000000,4,2011,83.25448333,Sejahtera,,,,,
51,32,JAWA BARAT,KOTA DEPOK,1823180,48900,125252,28413000000,4,2011,57.7484,Cukup,,,,,
52,32,JAWA BARAT,KOTA CIMAHI,554175,39500,58964,14319000000,4,2011,33.03146667,Sangat Tidak Sejahtera,,,,,
53,32,JAWA BARAT,KOTA TASIKMALAYA,644305,129800,63722,9758000000,4,2011,22.16656667,Sangat Tidak Sejahtera,,,,,
54,32,JAWA BARAT,KOTA BANJAR,177587,14700,19908,2137000000,4,2011,11.0336,Sangat Tidak Sejahtera,,,,,
55,32,JAWA BARAT,BOGOR,5073120,451000,542317,1.04E+11,3,2012,179.9414833,Sangat Sejahtera,,,,,
56,32,JAWA BARAT,SUKABUMI,2393190,234600,185472,31768000000,3,2012,56.3524,Cukup,,,,,
57,32,JAWA BARAT,CIANJUR,2213890,292200,172462,21817000000,3,2012,36.1409,Sangat Tidak Sejahtera,,,,,
58,32,JAWA BARAT,BANDUNG,3339680,279500,170992,54468000000,3,2012,101.7280667,Sangat Sejahtera,,,,,
59,32,JAWA BARAT,GARUT,2477110,315800,194949,27815000000,3,2012,46.61921667,Tidak Sejahtera,,,,,
60,32,JAWA BARAT,TASIKMALAYA,1710430,201500,221843,17192000000,3,2012,25.93351667,Sangat Tidak Sejahtera,,,,,
61,32,JAWA BARAT,CIAMIS,1148780,147800,66859,15214000000,4,2012,32.62171667,Sangat Tidak Sejahtera,,,,,
62,32,JAWA BARAT,KUNINGAN,1036490,142300,81883,10963000000,3,2012,21.46018333,Sangat Tidak Sejahtera,,,,,
63,32,JAWA BARAT,CIREBON,2076610,311300,234449,23858000000,3,2012,36.80521667,Sangat Tidak Sejahtera,,,,,
64,32,JAWA BARAT,MAJALENGKA,1164720,168600,101564,14307000000,3,2012,26.7258,Sangat Tidak Sejahtera,,,,,
65,32,JAWA BARAT,SUMEDANG,1117920,132900,106650,16401000000,3,2012,31.2545,Sangat Tidak Sejahtera,,,,,
66,32,JAWA BARAT,INDRAMAYU,1663400,257300,247514,51389000000,3,2012,92.11396667,Sangat Sejahtera,,,,,
67,32,JAWA BARAT,SUBANG,1480710,185400,133708,20589000000,3,2012,37.4026,Sangat Tidak Sejahtera,,,,,
68,32,JAWA BARAT,PURWAKARTA,885386,85000,117845,31934000000,3,2012,62.55908333,Cukup,,,,,
69,32,JAWA BARAT,KARAWANG,2199390,245100,378295,1.11E+11,3,2012,205.84825,Sangat Sejahtera,,,,,
70,32,JAWA BARAT,BEKASI,2884300,153100,451393,1.75E+11,3,2012,331.4386833,Sangat Sejahtera,,,,,
71,32,JAWA BARAT,BANDUNG BARAT,1567400,209900,190753,21652000000,3,2012,36.26801667,Sangat Tidak Sejahtera,,,,,
